Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
-1.726067302023545913e-01,-1.635053951846717091e+00,2.349048791889999599e+00,-7.092108976826633866e-04,-1.003608946967948085e-04,-7.333497556605030748e-03,-1.059338846027307705e-02
-5.143759294056308995e-02,-6.561984481830269722e-01,1.069596037076250283e+00,8.343555064256287035e-04,1.310868924707103006e-02,2.036195097914729121e-02,4.098649834866126274e-02
-3.750364918234332101e-02,-3.788007347395835889e-01,7.824203187184166630e-01,6.348059289913810595e-05,4.253133853915413293e-03,5.376792204679766221e-03,9.475075446431445100e-03
-3.016496157060021693e-02,-5.601174659169789738e-01,1.610402770068279033e+00,-3.768904848817247288e-06,7.528358154581142126e-04,3.214140427793128058e-03,6.106818470521759544e-03
-8.375962542788592535e-02,-6.196211390261794349e-01,1.479424386725471718e+00,-4.803057899360670688e-05,5.673300562994725536e-03,6.607342132975865118e-03,1.657111827795685471e-02
-2.355455790344164468e-01,-6.657073883593117580e-01,1.719482768836576803e+00,-1.161549903330738077e-02,-3.725301418703552692e-02,-3.112644814410175931e-04,1.564083890331727233e-02
-2.781895023554689095e-01,-1.154439326435785285e+00,2.025065340641607925e+00,-9.612222095210939954e-02,-4.077090504328131221e-02,-2.644132247152194970e-01,-2.905063661147553877e-01
-1.053591775239117317e-01,-8.682350507278393525e-01,1.541730290448927843e+00,-7.526481194315808032e-04,3.684301280537146533e-03,-4.605169739586207484e-03,3.338518956704535426e-03
-6.149255543763439830e-02,-7.072285502117204858e-01,1.358252258637876686e+00,-2.970107543607890081e-04,4.624418740662756752e-03,7.568690490702575241e-03,1.999982166261012745e-02
-2.325800230393949564e-01,-8.828689414257222534e-01,1.795734281913905273e+00,-1.652857300836031371e-02,5.605144474554173140e-03,-5.270666444427076630e-02,-2.092049576457626070e-02
-1.504633621445655989e-01,-9.164163134125618004e-01,1.576606632768212890e+00,-5.903755188233778504e-03,6.244106212142660345e-03,-2.269185480906549951e-02,-4.351676714475144481e-03
-8.224562043462142757e-02,-7.036405098574592953e-01,1.599307306433458864e+00,-2.090934956515327035e-03,2.374324584685628958e-02,4.981983921272137295e-02,8.226345325989843638e-02
-1.985662832620569557e-02,-5.474771769417137168e-01,1.667879598289940146e+00,-4.402468016857995046e-05,1.976059007790831410e-03,3.632826343552239632e-03,5.855064452398618668e-03
-7.030273040396019246e-02,-1.069229152351653056e+00,1.943594661460140705e+00,-8.794698305502513143e-04,2.971047665675590962e-02,5.837739754709759393e-02,8.855999146468310212e-02
-1.020498212024968238e-01,-8.981721640702677867e-01,1.746749029886728977e+00,-1.415855962680808485e-03,5.626305481503071637e-03,1.298379878408670828e-02,1.473333994034461102e-02
-1.796350528528474211e-01,-8.957700563848385311e-01,1.758712281758441076e+00,-4.445467109139284237e-03,4.846198207131998531e-03,9.519459295786021624e-03,1.576003733067634499e-02
-2.085390674835924663e-01,-7.249006881720594375e-01,1.589618436464852458e+00,-7.968365967719761786e-03,2.258186008639738451e-02,3.525158784591701788e-02,6.016068707018051159e-02
-1.682883980954944791e-01,-5.093833817054158608e-01,1.338334360323117922e+00,-3.671227040177882719e-03,4.359064631906909432e-02,5.096571317882355595e-02,9.775804408271582258e-02
-1.369380578426580841e-01,-4.783502414583596929e-01,1.310532491366843022e+00,2.375228542096240354e-04,4.564049972685953888e-02,4.806524510985215465e-02,8.700507914043925650e-02
-2.521033643246849421e-01,-7.728599691571674812e-01,1.634234522341918794e+00,-4.150441293131430093e-03,1.468662121764300124e-02,7.952978345312028408e-02,1.547524372871915133e-01
-1.458485121252012795e-01,-7.567989866260884657e-01,1.589948353676350568e+00,-1.887981249600780313e-03,2.463025121132788459e-02,3.970089532709789037e-02,6.538781781213189037e-02
-1.366735765190177643e-01,-4.107420227861632300e-01,1.363620125134799022e+00,-2.049825387724643969e-03,3.005039170138150070e-02,4.529683176890670487e-02,7.674037294687410804e-02
-1.960909972196427375e-01,-6.223179485939343003e-01,1.372622164186109384e+00,-3.921575401969072672e-03,5.713408886511898988e-02,5.984566705512384815e-02,1.187409526337745574e-01
-1.405239460259796458e-01,-3.551142131533893131e-01,1.198026803219773617e+00,-9.658293933093203051e-04,3.347157574854611045e-02,4.688150783498253038e-02,7.617426410311872731e-02
-6.780443703215693896e-02,-1.461931056601070145e+00,2.152310799108556605e+00,-4.193918567551321950e-04,7.792761979007294983e-03,1.873198841522344393e-02,2.469818098132346013e-02
-1.192638041690473466e-01,-9.278833896439877549e-01,1.898697527442945843e+00,-1.254536978651371582e-04,7.130113956214751032e-03,1.183865362625398203e-02,1.475754911189029392e-02
-1.709374802105765867e-01,-6.639689627018257045e-01,1.584472549012469145e+00,3.027638172485237061e-03,2.253879248385502743e-02,1.048632722835481507e-01,1.666588959088440292e-01
