Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
-3.418859802853349561e-01,-2.029429540294547252e+00,1.257238761867041088e+00,-9.597106194512861760e-03,5.933317771714219022e-03,9.547256007263367483e-03,1.968594320737932640e-02
-4.451337276302922974e-01,-2.129011225165074794e+00,1.251972596497768819e+00,-5.996167751836231023e-04,1.599763013957897217e-02,1.581850163239510373e-02,3.460509849479487254e-02
-3.168780599021601141e-01,-1.962375997899473701e+00,1.160501559180695974e+00,-1.193152424336162663e-02,1.242864986127448571e-03,6.801902412591397107e-03,1.373143072763481978e-02
-6.384639519991526235e-01,-2.227974314420853474e+00,1.147110929671445678e+00,-1.164139832477377440e-04,1.311320645854288126e-02,9.113034550303092049e-03,2.213978821228353502e-02
-1.177992309641981539e+00,-2.223308131950591182e+00,1.255050444776187213e+00,-5.383816064281270013e-03,1.011388872752202600e-01,8.022121424254226307e-02,2.022784837848502493e-01
-6.781231114349121070e-01,-2.234974157446791843e+00,1.327972631411408422e+00,-2.138365134010576868e-04,8.099769936101041887e-03,5.427300567726677655e-03,1.769327427082582199e-02
-6.344623651174363665e-01,-2.301972424095557912e+00,1.394743999028094095e+00,-1.411766746064954453e-03,2.243303524730871218e-02,1.122063482052292754e-02,4.195000284520765399e-02
-4.621347189409718559e-01,-2.348940208180781752e+00,1.427934571626426674e+00,-3.682109255432162867e-04,7.513341872781903810e-03,4.583551964325112762e-03,1.256877382836138826e-02
-5.804858318104671316e-02,-1.811012693990421418e+00,8.340385773364668021e-01,-2.847239070671108395e-03,-1.170903975513224761e-02,-7.785001680666132559e-03,-2.039515393176433503e-02
-4.709204984219638596e-02,-1.845466585555564087e+00,8.147288483371352141e-01,-8.950513023836645550e-04,-4.147114231475303690e-03,-2.563817536369435331e-03,-6.685611753185992032e-03
