Alpha_estimate_Exponent,Alpha_estimate_PAF,Alpha_estimate_Power,Alpha_estimate_Width,Xi_estimate_Exponent,Xi_estimate_Power,Xi_estimate_Width
2.928725460907081413e+00,1.011710900764960819e+01,3.018336269472326472e-01,3.407835799378234221e+00,1.846302595231440247e+00,4.280303914535355525e-01,4.018108414365099357e+00
2.827538419992495999e+00,1.016742613376715276e+01,2.074290830403184294e-01,3.302639756447229846e+00,1.805611252784729004e+00,1.562189467561741762e-01,3.995604982742896549e+00
3.436799458854703726e+00,1.004838782881272330e+01,8.785052708658254439e-02,3.572340868662724045e+00,1.797213962530114895e+00,7.508440636735422835e-01,3.879003768516739115e+00
3.653705063793394103e+00,9.986367026964822813e+00,2.470972364406204963e-02,3.353658366534444824e+00,1.637691527605056763e+00,1.159471537814372177e-01,4.115544617176055908e+00
3.358184017404152399e+00,1.005974152836486368e+01,5.765844094329071468e-02,3.974854458857626671e+00,1.770272479440174074e+00,8.240645630081204764e-01,3.969033740732791582e+00
3.712958488308015337e+00,1.007261637390637077e+01,4.886244248619171088e-02,3.517683425236269645e+00,1.601307880683023432e+00,3.933209299715490492e-01,4.271124693865332667e+00
4.022237083850762396e+00,1.014099740982055664e+01,7.184525751150570849e-02,3.203173337838588708e+00,1.507634418132977716e+00,4.604553210143095265e-01,4.395869432351528161e+00
4.110922744829360376e+00,1.010627319388193612e+01,1.039312037567025476e-01,2.907771986913463280e+00,1.445530580059034120e+00,5.164830580217653067e-01,4.401945323160250112e+00
3.518302473951788301e+00,1.015919673442840576e+01,1.107031030799536103e-01,3.054121829131070331e+00,1.524524076020016494e+00,2.260924015358528605e-01,4.363526961382697245e+00
4.528127469360389235e+00,1.003585952974361639e+01,6.355703768780322782e-02,2.455376359110089446e+00,1.402098460338039532e+00,1.478189456869255514e-01,4.324525534374415336e+00
3.200556267513317898e+00,1.003768754273318109e+01,3.813551299776253845e-01,3.339115028970697008e+00,1.886513551969206670e+00,8.967479255594564824e-01,3.963172055362315760e+00
3.858911285955439308e+00,1.011602614165613900e+01,7.095636620565697050e-02,3.078508089459131458e+00,1.561580789152276605e+00,2.921817068739858136e-01,4.292876865497972538e+00
3.645484805107116699e+00,1.007524312928665466e+01,9.157151631404493453e-02,3.003610142441683006e+00,1.546699111544808769e+00,1.813648784706412276e-01,4.248046865296918106e+00
3.202520024258157516e+00,1.012421202037645429e+01,1.575617795567149648e-01,3.175102513769398449e+00,1.610148098157799801e+00,2.227927991391523976e-01,4.302165369365526182e+00
3.952994490182527798e+00,1.005896634440268222e+01,8.201107626119928662e-02,2.603397503975898974e+00,1.447329346851635945e+00,1.207964360433560480e-01,4.308583926129085029e+00
3.636756504597685069e+00,9.829574080326096919e+00,3.471445955018692686e-02,3.750699990533392647e+00,1.578383831699867512e+00,5.340570318658790505e-01,4.381524018642613427e+00
4.671366693680746529e+00,9.910927496458354469e+00,3.032058517023790423e-02,2.701888407531537695e+00,1.413253033370302392e+00,1.656199276872109827e-01,4.469823872833921463e+00
3.249719986432715313e+00,9.994946117642559358e+00,2.198132004918931515e-01,3.337136090556277690e+00,1.846617711495749603e+00,5.102858013367350676e-01,3.972125492518461254e+00
3.363275990615020028e+00,1.009916589582288537e+01,1.207989592205833684e-01,3.485085108473494397e+00,1.761375819025812861e+00,4.759305549634469390e-01,3.966670134260847913e+00
3.366770416953877021e+00,9.820463976728806443e+00,2.294603378913544905e-02,3.964139236951822021e+00,1.681444654770947400e+00,3.915779569530887794e-01,4.314336275835649381e+00
4.477223433511105632e+00,9.983196374308855425e+00,4.091395626673636349e-02,2.314298653878228418e+00,1.372428889219471593e+00,4.467210102546421979e-02,3.965565263880470592e+00
4.968294277583082952e+00,9.650272935492807846e+00,1.946098375725283450e-02,2.504578844597350695e+00,1.402067372788033062e+00,1.141354797076280791e-01,4.475721504045948151e+00
3.479725317834516662e+00,9.688206744968676176e+00,1.974997677275447047e-02,3.937675518249346585e+00,1.615908138158089091e+00,4.948851796747975595e-01,4.615565408438121686e+00
3.247400940328404317e+00,9.888090866199437556e+00,2.572036273305074866e-02,3.886297702789306641e+00,1.566506376819334134e+00,1.918423370498678060e-01,4.457485395929087879e+00
3.395088688271944655e+00,1.010683999296094626e+01,1.570262352584815280e-01,3.278081778620109965e+00,1.630565439091354207e+00,3.680874489736361554e-01,4.226254824732170512e+00
3.329511695628543766e+00,1.004734852331147721e+01,3.457623698728547468e-01,3.195438851555474358e+00,1.561561876063724208e+00,6.528840792372072599e-01,4.289371461319408496e+00
3.311176460981369196e+00,9.702633709907532378e+00,7.447631484363227694e-02,4.322216606140136363e+00,1.706328658461570669e+00,2.596200851798057485e+00,4.352411286830902171e+00
3.475101624925931443e+00,9.677560938729179441e+00,5.054861589127944421e-02,4.060297293795479767e+00,1.668868590560224296e+00,1.333802091682122715e+00,4.513014753659565947e+00
